Title,Authors,Genre,Price,Rating,Description,Image
Logistics In World War II,,,,,,
China in and beyond the Headlines,"Timothy B. Weston, Lionel M. Jensen",Political Science,61.17 EUR,,"In the third volume of this popular series, leading experts provide fascinating and unexpected insights into critical issues of culture, economy, politics, and society in today's China. This world, outside the reach of state control and either misunderstood or unreported in Western media, gains clarity and dimension from the fresh insights of a prominent group of activists, investigative journalists, lawyers, scholars, and travelers, who share a common interest in lessening the profound information gap between China and the rest of the world. In sixteen new essays, they address such key topics as civil society, consumerism, environmental adversity, ethnic tension, the Internet, legal reform, new media and social networking, nationalist tourism, sex and popular culture, as well the costs of urban gigantism to portray the complexity of life in contemporary China—and how, increasingly, it speaks to the everyday experience of Americans. Contributions by: David Bandurski, Susan D. Blum, Timothy Cheek, Gady Epstein, Andrew S. Erickson, Lionel M. Jensen, John Kamm, Wenquing Kang, Katherine Palmer Kaup, Travis Klingberg, Orion A. Lewis, Benjamin L. Liebman, Jonathan S. Noble, Tim Oakes, Jessica C. Teets, Alex L. Wang, and Timothy B. Weston.",http://books.google.com/books/content?id=jAR4EQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Confessions of Arsene Lupin,Maurice Le Blanc,,,,"Ten new adventures in the career of this gentleman burglar are recounted in the ten chapters of this book. The titles are: Two hundred thousand francs reward; The wedding ring; The sign of the shadow; The infernal trap; The red silk scar; Shadowed by death; A tragedy in the forest of morgues; Lupin's marriage; The invisible prisoner; Edith Swanneck.Show Excerpt l, low-storied house, of which the ground-floor was occupied by the proprietor of a dram-shop, who stood smoking in his doorway, next to the entrance-passage. Lupin asked if Mr. Hargrove was at home. ""Mr. Hargrove went out about half-an-hour ago,"" said the publican. ""He seemed very much excited and took a taxi-cab, a thing he doesn't often do."" ""And you don't know...."" ""Where he was going? Well, there's no secret about it He shouted it loud enough! 'Prefecture of Police' is what he said to the driver...."" Lupin was himself just hailing a taxi, when he changed his mind; and I heard him mutter: ""What's the good? He's got too much start of us...."" He asked if any one called after Mr. Hargrove had gone. ""Yes, an old gentleman with a grey beard and spectacles. He went up to Mr. Hargrove's, rang the bell, and went away again."" ""I am much obliged,"" said Lupin, touching his hat. He walked away slowly without speaking to me, wearing a thoughtful air. There",http://books.google.com/books/content?id=7lMZvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Lost Gutenberg,Margaret Leslie Davis,History,10.22 EUR,,"“A lively tale of historical innovation, the thrill of the bibliophile’s hunt, greed and betrayal.” – The New York Times Book Review ""An addictive and engaging look at the ‘competitive, catty and slightly angst-ridden’ heart of the world of book collecting.” - The Houston Chronicle The never-before-told story of one extremely rare copy of the Gutenberg Bible, and its impact on the lives of the fanatical few who were lucky enough to own it. For rare-book collectors, an original copy of the Gutenberg Bible--of which there are fewer than 50 in existence--represents the ultimate prize. Here, Margaret Leslie Davis recounts five centuries in the life of one copy, from its creation by Johannes Gutenberg, through the hands of monks, an earl, the Worcestershire sauce king, and a nuclear physicist to its ultimate resting place, in a steel vault in Tokyo. Estelle Doheny, the first woman collector to add the book to her library and its last private owner, tipped the Bible onto a trajectory that forever changed our understanding of the first mechanically printed book. The Lost Gutenberg draws readers into this incredible saga, immersing them in the lust for beauty, prestige, and knowledge that this rarest of books sparked in its owners. Exploring books as objects of obsession across centuries, this is a must-read for history buffs, book collectors, seekers of hidden treasures, and anyone who has ever craved a remarkable book--and its untold stories.",http://books.google.com/books/content?id=0chqDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Battle of Tours,50minutes,,,,"Keen to learn but short on time? Get to grips with the events of the Battle of Tours in next to no time with this concise guide. 50Minutes.com provides a clear and engaging analysis of the Battle of Tours. In the year 732, Christian Frankish and Burgundian troops under Charles Martel clashed with soldiers from the Muslim Umayyad Caliphate. The Frankish victory turned back the Muslim advance into Europe and ensured that Christianity remained the major religion of Europe, in this way shaping the course of history in the region for centuries to come. In just 50 minutes you will: - Understand the historical context that led to the outbreak of the conflict - Identify the main leaders and forces that took part in the conflict - Analyse the outcome of the battle and its impact on the course of European history ABOUT 50MINUTES.COM History & Culture 50MINUTES.COM will enable you to quickly understand the main events, people, conflicts and discoveries from world history that have shaped the world we live in today. Our publications present the key information on a wide variety of topics in a quick and accessible way that is guaranteed to save you time on your journey of discovery.",http://books.google.com/books/content?id=HIvgxgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Lost Mona Lisa,R. A. Scotti,Art forgers,,,"Late on the afternoon of Sunday, August 20 1911, three men strolled through the Louvre. Disguising themselves as museum staff they hid until nightfall. Sixteen hours later the most famous painting in the world, the Mona Lisa, had vanished. It took twenty-four hours for anyone in the museum to notice. When the alarm went out, the police rushed to the museum. The doors were locked, staff and visitors were detained, but the painting was long gone. France sealed her borders. And when the museum reopened a week after the theft, Parisians queued up in record numbers to view the blank space where the famous painting once hung. A huge police hunt continued, but months passed with no breakthrough in the case. It seemed that the theft of the Mona Lisa was the perfect crime. Two years later in Florence, art dealer Alfredo Geri received a letter signed 'Leonardo'. The Mona Lisa was for sale; the price half a million dollars. A meeting was arranged and 'Leonardo' was persuaded to let Geri remove the painting and take it to the Uffizi for authentication. The moment Geri left the hotel he called the police. Minutes later 'Leonardo' - aka Vincenzo Peruggia - was arrested. In a further twist, Peruggia was hailed as a national hero in Italy. He portrayed himself as a nationalist, who only stole back what rightly belonged to Italy. The Mona Lisa was brought back to Paris with much fanfare. But what of the other two men from the Louvre heist? Their story is even more incredible. Eduardo de Valfierno, an Argentine con man, was the brains behind the operation. Together with art forger Yves Chaudron, he planned a truly audacious crime. Chaudron forged six copies of the Mona Lisa. They then employed Peruggia to help steal the original. When news of the heist hit the international headlines Eduardo sold the six fakes to wealthy collectors, each of whom believed he was buying the original, netting the equivalent of $90 million in today's money. Neither man was convicted for their part in the theft. The whereabouts of the fakes remains a mystery.",http://books.google.com/books/content?id=QKc1AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Grandma's on the Camino,Mary O’Hara Wyman,Family & Relationships,10.69 EUR,,"In Grandmas On the Camino, author Mary OHara Wyman, a 72 year old grandmother from San Francisco, relates her 2010 adventures walking 500 miles alone as a pilgrim on the Camino Frances. Her journey takes her from St. Jean Pied de Port in France, across the Pyrenees to Spain, then westward to the ancient spiritual destination of Santiago de Compostela. Through back-home reflections based on journal entries and postcards sent to her grand daughter, Mary describes engaging encounters with pilgrims of all ages and motivations, close-range observations of numerous animals on the trails, and the daily tasks of finding food and a bed each evening. Readers will gain keen insight into the physical day to day rigors facing a walking pilgrim, as Mary endured several falls on the trails, a serious foot injury, copious rain, mud and unseasonal cold and hot weather. Grandmas On the Camino will inspire pilgrims and armchair readers of any age with Marys adventures and coping mechanisms, calmness under pressure, humorous outlook on life and truly spiritual approach to walking the Camino Frances to Santiago de Compostela. You will walk as a pilgrim with Mary through every word in the book.",http://books.google.com/books/content?id=I4_476p9ZmIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Book of Church Order of the Presbyterian Church in the United States,Presbyterian Church in the U.S. General Assembly,Presbyterian Church in the United States,,,,
The Sorrows of Werter,J. Wolfgang Von Goethe,,,,This Is A New Release Of The Original 1886 Edition.,http://books.google.com/books/content?id=2XuQoAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Lost Heiress,Roseanna M. White,Large type books,,,"""In 1910 Edwardian England, a British-born young heiress raised in the palace of Monaco comes to Yorkshire, where mystery and tragedy threaten her very existence""--",http://books.google.com/books/content?id=5rfonAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
"The Dockyards, Shipyards and Marine of France",P. Barry,,,,"Trieste Publishing has a massive catalogue of classic book titles. Our aim is to provide readers with the highest quality reproductions of fiction and non-fiction literature that has stood the test of time. The many thousands of books in our collection have been sourced from libraries and private collections around the world.The titles that Trieste Publishing has chosen to be part of the collection have been scanned to simulate the original. Our readers see the books the same way that their first readers did decades or a hundred or more years ago. Books from that period are often spoiled by imperfections that did not exist in the original. Imperfections could be in the form of blurred text, photographs, or missing pages. It is highly unlikely that this would occur with one of our books. Our extensive quality control ensures that the readers of Trieste Publishing's books will be delighted with their purchase. Our staff has thoroughly reviewed every page of all the books in the collection, repairing, or if necessary, rejecting titles that are not of the highest quality. This process ensures that the reader of one of Trieste Publishing's titles receives a volume that faithfully reproduces the original, and to the maximum degree possible, gives them the experience of owning the original work.We pride ourselves on not only creating a pathway to an extensive reservoir of books of the finest quality, but also providing value to every one of our readers. Generally, Trieste books are purchased singly - on demand, however they may also be purchased in bulk. Readers interested in bulk purchases are invited to contact us directly to enquire about our tailored bulk rates.",http://books.google.com/books/content?id=BXjyswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
"The Rover Boys Out West. Or, the Search for a Lost Mine",Arthur M Winfield,Literary Collections,,,,http://books.google.com/books/content?id=N8Z-AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Bomb and the Soviet Embassy in Tirana,Uran Butka,History,,,"THE BOMB AND THE SOVIET EMBASSY IN TIRANA The book by the writer and historian Uran Butka “ The bomb and the Soviet Embassy in Tirana” recently translated from Albanian to English, is a historical-legal study of one of the typical massacres of the brutal communist regime in Albania. The massacre that took place on the night of the 26th of February 1951 is at the same time the most illegal and unprecedented in the history of both the Albanian and foreign legislation. First of all, because the decision to realize the plan of the massacre took place not in the court of law but in the office of the Political Bureau of the Communist Party of Albania, on the gathering of the night of the 20th February 1951, with the pretext that a small amount of dynamite was thrown in the backyard of the Soviet Embassy that actually broke just a few glasses the night before the meeting. This caused the immediate gathering of the heads of the State-Party leaded by Enver Hoxha . The meeting was called by the Minister of Internal Affairs Mehmet Shehu. In this meeting was decided that extraordinary measures had to be made without considering the laws in force, 100 or 150 people had to be arrested immediately and the most important people 10 or 15 amongst them had to be executed without trial. <<We have to kill more people to maintain power >>- said Mehmet Shehu during the meeting. Secondly, the arrests that were executed during 20th and 23d of February 1951, were not just political but also illegal, because they were executed without an arrest order or warrant from the prosecutor and without any court order of any kind, the names were taken only by the death list made by State Security. Another reason is that no investigation was made no court no appeal, so every step of the criminal and civil code were trespassed and violated . The victims were executed by a firing squad secretly at midnight near the shore of Erzeni river, so that all evidence would disappear. An massive operation also took place to deport their families into concentration and work camps. Last but not least , since the execution without trial made the headlines, within and outside the country, and since it involved the Soviet Embassy, the Supreme Court decided to make fictitious records, as these records were made during trial, but two members of the Supreme Court, Hydai Beja and Nonda Papuli, refused to sign these documents since no court had been made. So among other things a forgery of the documents was made to legitimize the massacre. All these jurisdictional and administrative violations failed to cover up the massacre without trial and with no guilt proven . In this way these known intellectuals from all over Albania with no trial were executed, to arouse fear terror and submission to the regime, but also to strength the friendship with the Soviet Union and the Stalinist way of dictatorship. But these man had no connection with this crime and they had no connection with each other.",http://books.google.com/books/content?id=8tijBQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Report of the Executive Committee to the 26th Annual Conference,The Labour Party,,,,,
