Title,Authors,Genre,Price,Rating,Description,Image
Sorry for Your Loss - It's Me : End of Life - Last and Final Wishes Organizer Planner and Checklist-Peace of Mind Planner Notebook-making Things Easy for My Family,Ava life publishing,,,,"♥Sorry for Your Loss - It's Me♥ Make life easier for those you leave behind. Help your family or friends trace all important information they will need when you die. We've created this guide for you so you have an easy place to write everything down. You can pick and choose which sections you complete Find a safe place to keep it, such as with your will, and let your family or close friends know about it Your details will change over time so think about updating it once a year or when your circumstances change. It is really important that you keep this book in a secure place at all times as it will contain sensitive and confidential information. You can record the following information: Basic Information (My personal detail, Key contact, Medical Information) My Important documents (Will, Funeral plan...) Funeral wishes My financial details (Current accounts, Saving accounts, Credit Cards..) Insurances list (Life Insurance, Car Insurance, House Insurance..) Rental agreement (Utility Providers ) Regular payments (Charity donations, Club memberships...) Significant possessions (Property, Vehicles...) Useful contacts (Financial Adviser, Dentist, Doctor...) Digital accounts (Social media accounts, Digital records, Online websites accounts...) Access to & location of important items Arrangements for children Arrangements for pets My Personal Wishes Letters to Loved Ones Expression of Gratitude Final words Thanks page & signature Scroll Up and Order Your Copy Today! NB1. This planner is not a legal document and does not replace a valid will. NB2. you can check other designs of end of life planners just click on the author name(Ava life publishing ) .",
LIFE BEYOND DEATH,Yogi 1862-1932 Ramacharaka,History,,,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",http://books.google.com/books/content?id=qTxbvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Battle of Life Annotated,Charles Dickens,,,,"The Battle of Life: A Love Story is a novella by Charles Dickens, first published in 1846. It is the fourth of his five ""Christmas Books"", coming after The Cricket on the Hearth and followed by The Haunted Man and the Ghost's Bargain.The setting is an English village that stands on the site of an historic battle. Some characters refer to the battle as a metaphor for the struggles of life, hence the title.Battle is the only one of the five Christmas Books that has no supernatural or explicitly religious elements. (One scene takes place at Christmas time, but it is not the final scene.) The story bears some resemblance to The Cricket on the Hearth in two respects: it has a non-urban setting, and it is resolved with a romantic twist. It is even less of a social novel than is Cricket. As is typical with Dickens, the ending is a happy one.It is one of Dickens's lesser-known works and has never attained any high level of popularity - a trait it shares among the Christmas Books with The Haunted Man.",http://books.google.com/books/content?id=os6xywEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
World's Best Uncle Ever Premium Quality,Family Life Journals,,,,"Family life Journals the Blank Lined Notebook Writing Journal is ideal Gifts who Love day to day writing Notebooks and Capture Thoughts, Or for everyone who wish to surprise their favorite relative on holidays or all year long, but have no time. Family life Journals provide gift ideas for your relatives or loved ones and lets you make your holiday as a memorable one. Creative Taking Notes Journal Explore Your Inner Gratitude Journaling Perfect Gifts for your Relative on your Favorite Holiday, Father's Day, Mother's Day, Christmas, Birthday, Graduate, Education, School, Special Occasion and Everyday A Memorable and Thoughtful Funny Design on the Cover 104 pages Blank Lined Paper Measures 6"" x 9"" with Softcover Book Binding Black And White Interior Journal Notebook for Women Men Kids Boys Girls Family Childhood, Youth, Coming Of Age, Death, Loss, Grief, Depression, Family Life, Friendship, Love, Marriage, Anniversary, Pregnancy, Spiritual, Travel, Voyage, School, College, University, Career, Workplace, Working, Office, Divorce, Marriage, Parenting, Parent And Children, Dating, Relationships, Singlehood, Single Women, Sister, Wedding, Mom, Dad, Grandpa, Grandma, Brother, Aunt, Daughter, Son, Uncle, Cousin Family Journals provides you year round unique Journals, Diaries, Coloring books, Planners, Picture Books, Sketchbooks, Children Activity Books, Comic, Music and Notebooks that are perfect gifts or your own writings. Get creative with us Capture Your Thoughts in This Reflective Writing Notebook that makes your day as a memorable one! Get your copy today ”",http://books.google.com/books/content?id=Pm0axwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Management Skills for Everyday Life,Paula J. Caproni,Communication in management,,,"This text is engaging and practical, yet research-based style is designed to help students achieve the success they desire. Specifically, the ideas, tools, and techniques help students enhance their effectiveness, career potential, and general well-being.",http://books.google.com/books/content?id=f6g_YgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Wie das Leben .... Life is a Story - story.one,Ara Dou,Biography & Autobiography,,,". . . so spielt. Eine kleine Sammlung von alltäglichen Geschichten aus einem normalen Leben - Begleitet von bunten Comics. Langweilig? Vielleicht ;) Aber für mich persönlich sind es wertvolle Erinnerungen :D Naja, manchmal auch einfach nur Erinnerungen.",http://books.google.com/books/content?id=TGLTEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Mein kleiner Engel. Life is a Story - story.one,Rumeysa Celik,Fiction,,,"Ein junges Mädchen, schon im frühen Alter verlassen von fast allem in ihrem Leben, ihren Erinnerungen und ihrer Familie. Sie hat all ihre Erinnerungen verloren und kann sie so schnell auch nicht wieder zurück gewinnen. Ihre Großtante Fiona versucht ihr unter die Arme zu greifen, in dem sie ihr alles so gut es geht versucht zu erklären. Das junge Mädchen hat jedoch Schwierigkeiten zu erkennen, ob es sich um die Wahrheit handelt. Entspricht es der Realität oder steckt mehr dahinter als man Wahr haben möchte? Sie gibt ihr bestes, doch wird sie das Geheimnis dahinter erfolgreich enthüllen können? Oder sollte sie es sein lassen?",http://books.google.com/books/content?id=MljPEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Life Scientific: Inventors,Anna Buckley,Biography & Autobiography,3.99 EUR,,"What does it take to be an inventor? Judging by the ingenious individuals who have come into The Life Scientific studio in the last eight years, there is no simple answer. Mathematicians, electricians, molecular biologists and mechanics can all transform lives. Some think with their hands, others make things in their minds. Most have a vision of the future. All are driven by a passionate determination to solve problems. These intimate accounts, based on interviews recorded for the popular BBC Radio 4 programme The Life Scientific, chart the life journeys of scientists and engineers working in Britain today from childhood interests to innovation. Explaining what they did when and why, they make science seem straightforward and exciting, revealing moments of disappointment, creativity, frustration and joy. The result is an illuminating collection of biographical short stories that make scientists and the work they do accessible to us all.",http://books.google.com/books/content?id=6GR2DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Life of Reilly,Paul Burke,Fiction,3.99 EUR,,"Sean Reilly seems to have his life sorted: lovely family, beautiful house and lucrative career as a voice-over artist. But he craves the sort of romance and affection that he no longer receives from his wife. When she sets up home in Kent without him he wonders why, once married, women want men to change and hate it when they don't? Whereas men never want women to change and hate it when they do. Lucy Ross, 'caught single' after a career development sends her long-term boyfriend into paroxysms of jealousy, is also looking for romance. She doesn't want Sean to change - she just wants him. Full stop. So could the life of Reilly be sorted after all?",http://books.google.com/books/content?id=cWXHyDLYDxUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
It Takes A Special Mom To Get Promoted To Memaw,Family Life Journals,,,,"Family life Journals the Blank Lined Notebook Writing Journal is ideal Gifts who Love day to day writing Notebooks and Capture Thoughts, Or for everyone who wish to surprise their favorite relative on holidays or all year long, but have no time. Family life Journals provide gift ideas for your relatives or loved ones and lets you make your holiday as a memorable one. Creative Taking Notes Journal Explore Your Inner Gratitude Journaling Perfect Gifts for your Relative on your Favorite Holiday, Father's Day, Mother's Day, Christmas, Birthday, Graduate, Education, School, Special Occasion and Everyday A Memorable and Thoughtful Funny Design on the Cover 130 pages Blank Lined Paper Measures 6"" x 9"" with Softcover Book Binding Black And White Interior Journal Notebook for Women Men Kids Boys Girls Family Childhood, Youth, Coming Of Age, Death, Loss, Grief, Depression, Family Life, Friendship, Love, Marriage, Anniversary, Pregnancy, Spiritual, Travel, Voyage, School, College, University, Career, Workplace, Working, Office, Divorce, Marriage, Parenting, Parent And Children, Dating, Relationships, Singlehood, Single Women, Sister, Wedding, Mom, Dad, Grandpa, Grandma, Brother, Aunt, Daughter, Son, Uncle, Cousin Family Journals provides you year round unique Journals, Diaries, Coloring books, Planners, Picture Books, Sketchbooks, Children Activity Books, Comic, Music and Notebooks that are perfect gifts or your own writings. Get creative with us Capture Your Thoughts in This Reflective Writing Notebook that makes your day as a memorable one! Get your copy today ”",http://books.google.com/books/content?id=evUvyAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
